Date,Open,High,Low,Close,Adj Close,Volume,pct_change,log_change,7ma,14ma,21ma,7macd,14macd,7rsi,14rsi,21rsi,7atr,14atr,21atr,7upper,7lower,14upper,14lower,21upper,21lower,7rsv,14rsv,21rsv,FT_3components,FT_6components,FT_9components,FT_27components,FT_81components,FT_100components
2010-01-04,6.8125,6.83050012588501,6.6570000648498535,6.695000171661377,6.695000171661377,151998000,,,6.695000171661377,6.695000171661377,6.695000171661377,0.0,0.0,,,,,,,,,,,,,,,,66.79352212643232,50.19396792391417,48.35939965110394,53.895564010554985,50.741649187555716,51.69953296528235
2010-01-05,6.671500205993652,6.77400016784668,6.5904998779296875,6.734499931335449,6.734499931335449,177038000,0.005899889269796736,0.005882553077422513,6.717571462903704,6.716160757201058,6.7156905219668435,-0.002735914089978816,-0.0010076469304611177,,,,,,,,,,,,,,,,66.52191673639932,49.81402502711959,47.852069585671124,52.50669193189089,46.68127125231237,46.06244593487605
2010-01-06,6.730000019073486,6.736499786376953,6.582499980926514,6.612500190734863,6.612500190734863,143576000,-0.018115634693665134,-0.018281731831784387,6.672135237100962,6.67656206882263,6.677968376712856,0.005470640900023342,0.0016055567571959394,,,,,,,,,,,,,,,,66.25050795282475,49.435137070333504,47.346232509099,51.110480391791285,42.64087407360408,40.471992471057966
2010-01-07,6.600500106811523,6.616000175476074,6.440000057220459,6.5,6.5,220604000,-0.01701326086802893,-0.017159649127417697,6.6091829218183245,6.622546751357404,6.626928534134789,0.01980286736540283,0.006543255045133965,,,,,,,,,,,,,,,,65.97929922876109,49.05731406368239,46.84192253660802,49.70820014084424,38.647975831140556,35.00031514645554
2010-01-08,6.5279998779296875,6.684000015258789,6.451499938964844,6.676000118255615,6.676000118255615,196610000,0.02707694127009465,0.026716846611540366,6.6310845892804835,6.636492652992739,6.638696679834499,0.01595247437207439,0.006822112593987777,,,,,,,,,,,,,,,,65.7082940109098,48.680565965361,46.33917363377948,48.30113796368043,34.72969311357685,29.716822211397155
2010-01-11,6.63100004196167,6.639999866485596,6.4604997634887695,6.515500068664551,6.515500068664551,175588000,-0.02404134912343318,-0.02433505937166178,6.595932065042077,6.608497126084544,6.612981360597872,0.021646105029819764,0.009188500396943373,,,,,,,,,,,,,,,,65.43749573955031,48.30490268100726,45.838019611049255,46.890594375880646,30.91239337414534,24.686610608032826
2010-01-12,6.44950008392334,6.491000175476074,6.327499866485596,6.367499828338623,6.367499828338623,181926000,-0.022715100723843994,-0.022977063228986586,6.530026701828909,6.55771388570665,6.567142036233346,0.03904703184636191,0.01507327644074468,,,,0.1803572518484933,,,6.847701887777978,6.324012486219301,,,,,0.0,,,65.16690784846905,47.93033406307921,45.33849411822461,45.477881292234514,27.22135609067832,19.96901032621467
2010-01-13,6.394999980926514,6.485499858856201,6.287499904632568,6.45550012588501,6.45550012588501,214464000,0.013820227706130513,0.013725599220580243,6.509322277576856,6.537722379400281,6.548117846955692,0.04701876493022807,0.019713007624696112,-126.72238725142753,,,0.18385723658970424,,,6.809493521671189,6.293792267818557,,,,,23.97827598079659,,,64.89653376488863,47.55686991023463,44.840630639026095,44.06431967117762,23.680447945043262,15.616288143607342
2010-01-14,6.456999778747559,6.519000053405762,6.320000171661377,6.367499828338623,6.367499828338623,195498000,-0.013631832674516819,-0.013725599220580217,6.470988376317368,6.5063804508695755,6.519606383210958,0.05633191771391354,0.025035089896495877,-71.93469801404527,,,0.18607146399361746,,,6.731537496238443,6.266891120966496,,,,,0.0,,,64.6263769093975,47.18451996671326,44.3444624856552,42.65123714028211,20.311817143177244,11.672544032877187
2010-01-15,6.459000110626221,6.482500076293945,6.353000164031982,6.35699987411499,6.35699987411499,307530000,-0.0016489916775345103,-0.0016503527607932434,6.440790714281526,6.480205440748192,6.495548691817058,0.06330160816757027,0.030243242801586426,-103.32684487228065,,,0.18257147925240652,,,6.692245054976926,6.233183471765193,,,,,0.0,,,64.3564406958793,46.81329392172138,43.85002279338867,41.239965607711135,17.13561171423573,8.172827841191758
